roi_id,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,FDOPA,GABAa-bz,M1,MU,NAT,NMDA,VAChT,mGluR5
1.0,17.033905,24.423513,1.2553356,0.027892793,0.41289133,4.8902183,8.606586,1.1161084,14.564001,0.38768655,28.505726,32.37343,111.25047,3.9973536,0.10543991,4.2728972,7.097272,8.89232,2.1477542
2.0,35.605946,21.180254,33.241997,1.4435872,0.35438213,4.306727,9.081155,1.1033812,13.160001,0.69112766,29.580006,35.001293,765.7842,2.7868273,9.159391,4.6731677,7.6482553,9.94723,2.1694353
3.0,22.312084,12.263142,14.277401,0.35876352,0.45229304,3.3284125,9.491497,1.1840651,9.1665,0.61795676,25.337746,32.68955,669.62335,3.8131328,3.1457562,4.2693486,6.8433056,9.748285,2.241082
4.0,21.674246,20.817375,4.017593,0.18209966,0.31115103,4.780705,9.037176,1.1601368,15.077001,0.47962612,28.498106,33.152496,565.04553,3.766291,0.13351198,4.543647,7.188469,9.194977,2.1850238
5.0,21.655933,14.175039,4.5310893,0.2483015,0.35754317,1.9526442,9.396187,1.2127296,11.210001,0.60226804,25.938124,31.99887,595.0019,3.6994507,1.0703307,5.050101,6.932695,9.333041,2.1949306
6.0,19.02829,7.5895643,3.9098163,0.2611208,0.39546138,0.86221045,9.806113,1.2574921,7.8265004,0.7177361,26.56593,31.567385,554.83936,3.5505667,2.0015693,4.103347,6.587624,9.348951,2.1156425
7.0,29.230629,16.687004,2.209591,0.21603535,0.400109,3.2326043,10.313756,1.3206793,15.043001,0.8168552,29.330101,34.97732,544.7443,3.2554,5.8814263,5.021704,7.199806,10.241307,2.2460425
8.0,19.402142,18.745155,10.301327,0.39544898,0.30760604,3.097873,10.100691,1.1885555,7.8985004,0.46305296,24.77394,31.681252,425.4461,3.153709,5.89217,9.642463,6.5499067,12.6210575,2.0566034
9.0,20.235298,18.036072,5.9983006,0.25553286,0.3296026,2.840888,10.017612,1.2101735,7.2495003,0.6138019,24.24823,30.628006,480.3482,3.4191768,4.500372,7.4482346,6.4158306,11.969728,2.0698037
10.0,23.210852,23.612808,0.23849751,0.0093711,0.41379797,1.8059328,10.721704,1.2737758,8.809501,0.6020009,25.357555,32.62213,402.7959,3.1124043,10.977825,9.207791,6.7297993,11.890364,2.289021
11.0,27.996155,24.317074,1.5947735,0.06243416,0.44092518,1.7793152,10.86154,1.2197049,10.387501,0.6029022,26.476025,31.88351,595.42773,3.1096551,12.729624,6.5169826,7.1581736,11.928934,2.3990965
12.0,14.017152,3.6990662,14.664554,0.5304332,0.32930824,0.8821224,10.961073,1.3678018,-0.003,0.63024676,22.899666,20.54352,667.12946,3.6217816,7.2297287,7.212368,4.428021,10.16834,2.1511436
13.0,13.162633,0.50544065,1.0367615,0.036043737,0.36324027,0.61493784,9.326767,1.2024318,7.5490003,0.5691173,23.143475,26.46896,643.11304,3.8924475,1.302662,4.1653214,6.3679075,9.518785,2.1360416
14.0,20.19715,8.510138,0.06664498,3.489561e-06,0.07518975,3.8880582,7.0767303,1.0130659,13.410001,0.1886751,29.570862,30.872215,336.1133,1.8850082,4.790026,1.1887898,6.382428,10.183944,1.8927895
15.0,25.913265,17.860378,22.748947,0.8389013,0.5342301,3.2766252,9.817064,1.2447292,12.089001,0.717486,25.861933,33.72781,815.3418,4.105616,6.374639,5.384284,6.899462,9.88017,2.3508942
16.0,26.306955,24.162518,0.43390897,0.014427136,0.4418397,1.6129032,10.243134,1.2803954,12.437,0.74483746,25.228033,31.147886,452.24954,4.212426,5.057279,5.5769215,7.3346205,9.390628,2.267733
17.0,26.445814,21.552929,6.700041,0.2342295,0.49069953,1.625314,10.374546,1.289188,11.356001,0.7649323,24.389942,30.923153,560.7726,4.157901,8.05129,4.1911464,7.280407,9.738298,2.2891264
18.0,43.79101,17.871693,0.08988591,0.016850641,0.4396497,3.373821,9.5125,1.3462713,17.204,1.1627202,29.25696,37.332516,411.12787,3.7134793,11.83326,7.166019,7.3807316,10.255496,2.3802068
19.0,27.558214,23.48914,0.0,0.0,0.3059857,2.6749473,9.457388,1.0946467,9.443001,0.4594115,29.034485,34.839485,527.0628,2.9384332,3.0612528,1.0077468,6.5612745,9.559596,1.9552346
20.0,12.0670185,0.570723,23.397057,0.82076806,0.41828495,1.025063,9.767765,1.2912911,1.744,0.8876305,23.766708,22.453743,514.1019,3.9066873,3.8329182,4.5429935,5.9932446,10.003902,2.3459654
21.0,10.837122,0.41312152,0.0,0.0,0.35979816,0.0,9.08533,1.2381926,-0.003,0.8778373,23.37052,23.223827,0.0,3.7782018,2.7072635,3.4188251,4.7747984,9.603575,2.3206253
