,roi_id,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa-bz,H3,M1,MU,NAT,NMDA,VAChT,mGluR5,vox_id,pls_x_score_0
27,337.0,-0.6020049,-0.6864606,-0.7102088,-0.68759054,-1.1382163,-0.8278696,-2.0321064,-0.08480356,-0.49323103,-0.06296717,-0.2644849,-1.3480674,-0.22062908,0.3784935,-0.1794003,-0.7353242,-0.017008148,-0.6235187,0.3680836,27,-5.408126114972945
36,337.0,-0.120730594,-0.17792636,-0.53949857,-0.5120883,-0.2953008,-0.77879846,-1.103682,0.32404652,-0.12031481,0.14369643,-0.22987802,-1.2736592,0.10203098,0.84690654,0.07384321,-0.051172197,0.28238082,-0.5772659,0.61385196,36,-4.1759579754282505
37,337.0,-0.47542107,-0.58346236,1.0498453,1.0891668,-0.7909166,-0.42735952,-1.6934221,0.12584503,-0.4239768,-0.1632398,-0.24986243,-0.47069913,0.21854304,0.6590159,-0.10893245,-0.36901706,-0.7477096,-0.55665416,0.3497491,37,-5.141029557606859
47,337.0,0.03858611,-0.0060519055,-0.5327842,-0.50131404,0.119548894,-0.6425518,-0.56043273,0.56578904,0.012672343,0.24465224,-0.17869873,-1.2644769,0.325472,1.0402757,0.14975253,0.53763354,-0.3373885,-0.46909901,0.7845425,47,-3.026298803658031
48,339.0,-0.20844427,-0.17203608,1.2072301,1.27662,-0.3108157,-0.31996602,-1.0066838,0.39398924,-0.22617643,-0.041930676,-0.21038108,-0.3373281,0.47558907,0.8226639,-0.002023816,0.51396483,-0.09716284,-0.45118597,0.5151084,48,-4.110153402047473
60,339.0,-0.12533367,0.060593456,1.0776222,1.1543094,-0.14645058,-0.20175141,-0.5192417,0.4306044,-0.17852665,0.00832133,-0.20453197,-0.33818746,0.32721668,0.65632844,-0.052000333,0.8347,0.45819154,-0.35926533,0.576272,60,-3.5937245556333175
67,333.0,0.5326464,0.4061167,-0.86243063,-0.8372318,0.6651537,-0.4184989,0.33421344,0.95943046,0.2581225,0.74485373,-0.10558543,-1.4125249,0.49971116,1.2817426,0.4731734,0.8110904,0.6515537,-0.52749014,1.1003304,67,-1.0977490908295238
69,339.0,0.123998016,0.16775751,-0.71419144,-0.68490237,0.18185224,-0.49524164,-0.25316566,0.44816583,-0.13243726,0.26615757,-0.1631013,-1.3361212,0.08132949,0.7236001,0.04772784,0.90144867,0.4280223,-0.3306775,0.6910238,69,-2.615581489903559
83,333.0,0.49837935,0.16719382,-0.64304,-0.61554223,0.51831836,-0.33808556,0.1608394,0.96922654,0.18694803,0.6553369,-0.10607291,-1.3333836,0.52748924,1.1345553,0.31160456,0.6359806,0.07222407,-0.4447734,1.0687964,83,-0.42871585475330176
84,325.0,0.30939898,0.038099483,-0.32949242,-0.29870093,0.27069327,-0.30605394,-0.2516959,0.6155812,-0.05694187,0.42846584,-0.14604144,-1.2061973,0.3011024,0.88848925,0.05653373,0.66498995,0.33699954,-0.36720344,0.81258506,84,-1.7334682499910945
