id	symbol	p_val|float	avg_logFC|float	p_val_adj|float	_hprdClass	_expr	_geneLists
BMPR1B	BMPR1B	0.00000E+00	1.00317872055985	0	Receptor serine/threonine kinase	BrainSpLMD|658;BrainSpMouseDev|11953	OMIM|603248;HPO|658|2-3 toe syndactyly, Abnormality of epiphysis morphology, Abnormality of the fingernails, Abnormality of the hip bone, Abnormality of the radius, Abnormality of the thumb, Abnormality of the ulna, Abnormality of tibia morphology, Aplasia of the middle phalanges of the toes, Aplasia of the proximal phalanges of the hand, Aplasia/Hypoplasia involving the metacarpal bones, Aplasia/Hypoplasia of the 1st metacarpal, Aplasia/Hypoplasia of the fibula, Aplasia/Hypoplasia of the middle phalanges of the toes, Aplasia/Hypoplasia of the middle phalanx of the 2nd finger, Aplasia/Hypoplasia of the middle phalanx of the 5th finger, Aplasia/Hypoplasia of the thumb, Autosomal dominant inheritance, Autosomal recessive inheritance, Bilateral single transverse palmar creases, Bowing of the long bones, Brachydactyly, Bracket epiphysis of the middle phalanx of the 2nd finger, Bracket epiphysis of the middle phalanx of the 5th finger, Broad foot, Broad hallux, Carpal synostosis, Clinodactyly of the 5th finger, Complete duplication of distal phalanx of the thumb, Cone-shaped epiphysis, Delayed speech and language development, Disproportionate short-limb short stature, Fibular aplasia, Fibular hypoplasia, Hallux valgus, Hypergonadotropic hypogonadism, Hypoplasia of the ulna, Hypoplasia of the uterus, Joint stiffness, Limitation of joint mobility, Medially deviated second toe, Micromelia, Narrow nasal bridge, Poor motor coordination, Postaxial hand polydactyly, Primary amenorrhea, Pseudoepiphyses of the 2nd finger, Radial deviation of finger, Radial deviation of the 2nd finger, Sarcoma, Short 2nd finger, Short distal phalanx of the 2nd finger, Short distal phalanx of the thumb, Short femoral neck, Short finger, Short foot, Short hallux, Short metatarsal, Short middle phalanx of finger, Short middle phalanx of the 5th finger, Short phalanx of finger, Short proximal phalanx of finger, Short proximal phalanx of thumb, Short stature, Short thumb, Short tibia, Short toe, Skeletal dysplasia, Stippling of the epiphysis of the distal phalanx of the thumb, Synostosis of carpal bones, Talipes equinovarus, Tarsal synostosis, Triangular shaped middle phalanx of the 2nd finger, Triangular shaped middle phalanx of the 5th finger, Type A2 brachydactyly, Type C brachydactyly, Ulnar deviation of finger, Ulnar deviation of the 2nd finger, Widened proximal tibial metaphyses
RGS20	RGS20	0.00000E+00	0.989499789405191	0	GTPase activating protein	BrainSpLMD|8601;Eurexp|euxassay_009661|ventricular layer	OMIM|607193
FGFR3	FGFR3	2.02267E-294	0.750380821831697	4.87423103465383e-290	Receptor tyrosine kinase;Tyrosine kinase	BrainSpLMD|2261;Eurexp|euxassay_006120|embryo;BrainSpMouseDev|13961	OMIM|134934;COSMIC||bladder, MM, T-cell lymphoma, Hypochondroplasia, Thanatophoric dysplasia;HPO|2261|2-3 finger syndactyly, Abnormal form of the vertebral bodies, Abnormality of femur morphology, Abnormality of lower limb joint, Abnormality of metabolism/homeostasis, Abnormality of pelvic girdle bone morphology, Abnormality of the antihelix, Abnormality of the cervical spine, Abnormality of the clavicle, Abnormality of the elbow, Abnormality of the metacarpal bones, Abnormality of the metaphysis, Abnormality of the ribs, Absence of Stensen duct, Absent lacrimal punctum, Absent proximal phalanx of thumb, Absent radius, Acanthosis nigricans, Alacrima, Anteverted nares, Aplasia of the parotid gland, Aplasia/Hypoplasia of the cerebellum, Aplasia/Hypoplasia of the lungs, Aplasia/Hypoplasia of the mandible, Aplasia/hypoplasia of the extremities, Arachnodactyly, Arnold-Chiari malformation, Autosomal dominant inheritance, Autosomal recessive inheritance, Bilateral single transverse palmar creases, Bilateral triphalangeal thumbs, Blepharospasm, Bowing of the long bones, Brachycephaly, Brachydactyly, Brain atrophy, Brain stem compression, Broad femoral metaphyses, Broad forehead, Broad hallux, Camptodactyly of finger, Camptodactyly of toe, Capitate-hamate fusion, Carious teeth, Carpal synostosis, Central apnea, Childhood onset short-limb short stature, Choanal atresia, Chronic otitis media, Clinodactyly, Clinodactyly of the 5th finger, Cloverleaf skull, Cognitive impairment, Conductive hearing impairment, Cone-shaped epiphyses of the phalanges of the hand, Cone-shaped epiphysis, Conical incisor, Convex nasal ridge, Corneal perforation, Coronal craniosynostosis, Coronal hypospadias, Craniosynostosis, Cryptorchidism, Cupped ear, Dacryocystitis, Decreased fetal movement, Delayed cranial suture closure, Delayed eruption of primary teeth, Dental crowding, Dental malocclusion, Depressed nasal bridge, Diaphyseal thickening, Downslanted palpebral fissures, Enlarged cerebellum, Excessive wrinkled skin, External ear malformation, Facial asymmetry, Femoral bowing, Fibular bowing, Finger syndactyly, Flared metaphysis, Flat face, Frontal bossing, Generalized joint laxity, Generalized seizures, Genu varum, Global developmental delay, Gonadal dysgenesis, Hearing impairment, Hereditary nonpolyposis colorectal carcinoma, Heterotopia, High forehead, High palate, High, narrow palate, Hydrocephalus, Hyperextensible skin, Hyperhidrosis, Hyperlordosis, Hypertelorism, Hypodontia, Hypoplasia of dental enamel, Hypoplasia of the corpus callosum, Hypoplasia of the lacrimal puncta, Hypoplasia of the maxilla, Hypoplasia of the radius, Hypoplasia of the ulna, Hypoplastic ilia, Hypoplastic lacrimal duct, Increased intracranial pressure, Increased nuchal translucency, Increased vertebral height, Infantile muscular hypotonia, Inflammatory abnormality of the eye, Intellectual disability, Intellectual disability, profound, Intellectual disability, severe, Intrauterine growth retardation, Joint contracture of the hand, Joint hyperflexibility, Kyphosis, Lacrimal gland aplasia, Lacrimal gland hypoplasia, Lethal short-limbed short stature, Limited elbow extension, Limited hip extension, Long thorax, Low anterior hairline, Lumbar hyperlordosis, Lumbar kyphosis in infancy, Macrocephaly, Malar flattening, Megalencephaly, Melanocytic nevus, Mesomelia, Metaphyseal chondrodysplasia, Metaphyseal irregularity, Microcephaly, Micromelia, Microtia, Midface retrusion, Mixed hearing impairment, Motor delay, Muscular hypotonia, Narrow chest, Narrow internal auditory canal, Narrow palate, Narrow sacroiliac notch, Nasolacrimal duct obstruction, Neonatal death, Neonatal short-limb short stature, Neoplasm, Neoplasm of the stomach, Nephrosclerosis, Numerous nevi, Obesity, Obstructive sleep apnea, Open bite, Osteochondroma, Otitis media, Partial duplication of thumb phalanx, Pectus excavatum, Periorbital fullness, Plagiocephaly, Platyspondyly, Polyhydramnios, Preaxial polydactyly, Prominent crus of helix, Prominent nasal bridge, Proptosis, Ptosis, Radial deviation of finger, Radial deviation of the 3rd finger, Recurrent corneal erosions, Recurrent otitis media, Redundant skin, Renal agenesis, Renal cell carcinoma, Respiratory insufficiency, Rhizomelia, Scoliosis, Seizures, Sensorineural hearing impairment, Severe global developmental delay, Severe platyspondyly, Severe short stature, Short femoral neck, Short femur, Short foot, Short long bone, Short middle phalanx of finger, Short middle phalanx of toe, Short palm, Short ribs, Short sacroiliac notch, Short stature, Short thorax, Short toe, Skeletal dysplasia, Sleep apnea, Small abnormally formed scapulae, Small face, Small foramen magnum, Small thenar eminence, Somatic mutation, Spinal stenosis with reduced interpedicular distance, Split hand, Sporadic, Strabismus, Tall stature, Tarsal synostosis, Telecanthus, Teratoma, Thimble-shaped middle phalanges of hand, Tibial bowing, Transitional cell carcinoma of the bladder, Trident hand, Turricephaly, Underdeveloped supraorbital ridges, Upper airway obstruction, Uterine leiomyosarcoma, Ventriculomegaly, Visual field defect, Wide anterior fontanel, Wide-cupped costochondral junctions, Wormian bones, Xerostomia
MLC1	MLC1	3.91130E-277	0.544408344317957	9.4254456672361e-273	Membrane transport protein	BrainSpLMD|23209;Eurexp|euxassay_010374|ventricular layer	OMIM|605908;HPO|23209|Ataxia, Autosomal recessive inheritance, Diffuse spongiform leukoencephalopathy, Diffuse swelling of cerebral white matter, Infantile onset, Intellectual disability, mild, Macrocephaly, Megalencephaly, Motor delay, Seizures, Spasticity
SLC1A2	SLC1A2	1.50164E-269	1.0547816200786	3.61865397733975e-265	Membrane transport protein	BrainSpLMD|6506;Eurexp|euxassay_009471|brain, spinal cord;BrainSpMouseDev|20273	SFARI||Autism, No category;OMIM|600300;HPO|6506|Autosomal dominant inheritance, Cerebral atrophy, Epileptic encephalopathy, Flexion contracture, Generalized hypotonia, Global developmental delay, Hypoplasia of the corpus callosum, Intellectual disability, profound, Kyphoscoliosis, Neonatal onset, Seizures
ARHGEF26-AS1	ARHGEF26-AS1	4.43026E-257	0.74580433301635	1.06760334092504e-252			
SLCO1C1	SLCO1C1	2.98298E-235	0.511867040159236	7.18839490863848e-231	Membrane transport protein	BrainSpLMD|53919;Eurexp|euxassay_007061|4th ventricle, choroid plexus, forebrain, hindbrain, meninges, midbrain, spinal cord, ventricular layer	OMIM|613389
CCDC80	CCDC80	3.56653E-233	0.51593177423644	8.59462316280346e-229	Unclassified	BrainSpLMD|151887	OMIM|608298
ADGRV1	ADGRV1	1.56668E-209	0.919412499250627	3.77538767489148e-205	G protein coupled receptor	BrainSpLMD|84059;Eurexp|euxassay_010149|ventricular layer;BrainSpMouseDev|74944	OMIM|602851;HPO|84059|Abnormal electroretinogram, Atonic seizures, Autosomal dominant inheritance, Autosomal recessive inheritance, Cataract, Childhood onset, Congenital sensorineural hearing impairment, Febrile seizures, Generalized tonic seizures, Generalized tonic-clonic seizures, Hemianopia, Heterogeneous, Infantile onset, Iris hypopigmentation, Myopia, Nyctalopia, Rod-cone dystrophy, Scotoma, Sensorineural hearing impairment, Visual loss
NDRG2	NDRG2	1.52351E-200	0.743722921696146	3.67134556256445e-196	Enzyme: Hydrolase	BrainSpLMD|57447;Eurexp|euxassay_018237|anterior, choroid plexus, cricoid, dorsal root ganglion, facial VII, femur, glossopharyngeal IX, humerus, mantle layer, naris, nasal septum, otic capsule, phalanx, rectum, rib, sternum, thyroid, trigeminal V, turbinate bones, vagus X, ventricle, ventricular layer, vestibulocochlear VIII	OMIM|605272
