id	symbol	p_val|float	avg_logFC|float	p_val_adj|float	_hprdClass	_expr	_geneLists
ACTR1A	ACTR1A	0.00000E+00	0.509249709137961	0	Cytoskeletal protein	BrainSpLMD|10121;Eurexp|euxassay_006567|cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, thoracic, trigeminal V, vagus X, vestibulocochlear VIII	OMIM|605143
APEX1	APEX1	0.00000E+00	0.514030804745455	0	DNA repair protein	BrainSpLMD|328;Eurexp|euxassay_005116|adenohypophysis, brain, cervical, cervico-thoracic, dorsal root ganglion, footplate, glossopharyngeal IX, handplate, hindgut, incisor, liver, lung, mandible, metanephros, midgut, molar, naris, naso-lacrimal duct, olfactory, orbito-sphenoid, pancreas, pharyngo-tympanic tube, rectum, respiratory, retina, spinal cord, sternum, stomach, submandibular gland primordium, testis, thoracic, thymus primordium, thyroid, trigeminal V, vertebral axis muscle system, vestibulocochlear VIII, vibrissa	OMIM|107748
ARPC5	ARPC5	0.00000E+00	0.517829496762189	0	Cytoskeletal associated protein	BrainSpLMD|10092;Eurexp|euxassay_005699|embryo	OMIM|604227
ATAT1	ATAT1	0.00000E+00	0.678901906700994	0	Unclassified	BrainSpLMD|79969;Eurexp|euxassay_009892|brain, neural retina, spinal cord	OMIM|615556
BHLHE22	BHLHE22	0.00000E+00	0.77693755972024	0	Unclassified	BrainSpLMD|27319;BrainSpMouseDev|37621	OMIM|613483
BLOC1S6	BLOC1S6	0.00000E+00	0.473841532058826	0	Unclassified	BrainSpLMD|26258;Eurexp|euxassay_001468|brain, spinal cord, thoracic;BrainSpMouseDev|18223	OMIM|604310;HPO|26258|Autosomal recessive inheritance, Congenital nystagmus, Hypopigmentation of the fundus, Hypopigmentation of the skin, Leukopenia, Nystagmus, Ocular albinism, Thrombocytopenia
BRD3	BRD3	0.00000E+00	0.401762110727831	0	Transcription regulatory protein	BrainSpLMD|8019	OMIM|601541;COSMIC||lethal midline carcinoma of young people
BTF3L4	BTF3L4	0.00000E+00	0.401404777795942	0	Unclassified	BrainSpLMD|91408;Eurexp|euxassay_006570|embryo	
BZW2	BZW2	0.00000E+00	0.478709741544177	0	Translation regulatory protein	BrainSpLMD|28969	
C2orf68	C2orf68	0.00000E+00	0.510108221347453	0	Unclassified		
C9orf16	C9orf16	0.00000E+00	0.855397404798997	0	Unclassified	BrainSpLMD|79095;Eurexp|euxassay_000206|dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, trigeminal V, vagus X, ventral grey horn	
CASP2	CASP2	0.00000E+00	0.54024648879531	0	Cysteine protease	BrainSpLMD|835	OMIM|600639
CBX1	CBX1	0.00000E+00	0.56782133218062	0	DNA binding protein	BrainSpLMD|10951;Eurexp|euxassay_018066|cortex, incisor, lung, marginal layer, molar, neural retina, olfactory, orbito-sphenoid, petrous part, pituitary, skeletal muscle, submandibular gland primordium, thymus primordium, ventricular layer, vibrissa	OMIM|604511
CBX3	CBX3	0.00000E+00	0.53081264101799	0	DNA binding protein	BrainSpLMD|11335	OMIM|604477
CBX5	CBX5	0.00000E+00	0.677621169089255	0	DNA binding protein	BrainSpLMD|23468	OMIM|604478
CCDC28B	CCDC28B	0.00000E+00	0.462789598721949	0	Unclassified	BrainSpLMD|79140;Eurexp|euxassay_012331|brain, cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, olfactory, spinal cord, thymus primordium, thyroid, trigeminal V, vagus X	OMIM|610162
CCT7	CCT7	0.00000E+00	0.518562377012122	0	Chaperone	BrainSpLMD|10574	OMIM|605140
CD24	CD24	0.00000E+00	1.20498638042784	0		BrainSpLMD|100133941;BrainSpMouseDev|12269	OMIM|600074
CDC42EP3	CDC42EP3	0.00000E+00	0.453593203070989	0	GTPase	BrainSpLMD|10602	OMIM|606133
CDK5R1	CDK5R1	0.00000E+00	0.481517211054659	0	Regulatory/other subunit	BrainSpLMD|8851;BrainSpMouseDev|12354	OMIM|603460
COMMD3	COMMD3	0.00000E+00	0.432569336329332	0	Unclassified	BrainSpLMD|23412;Eurexp|euxassay_003440|pancreas, submandibular gland primordium	OMIM|616700
