id	symbol	p_val|float	avg_logFC|float	p_val_adj|float	_hprdClass	_expr	_geneLists
ABLIM2	ABLIM2	0.00000E+00	0.534527659925461	0	Cytoskeletal associated protein	BrainSpLMD|84448	OMIM|612544
ADAMTS3	ADAMTS3	0.00000E+00	0.525300623118731	0	Metallo protease	BrainSpLMD|9508	OMIM|605011
ADGRB2	ADGRB2	0.00000E+00	0.417124380925555	0	Integral membrane protein	BrainSpLMD|576	OMIM|602683
ANKRD24	ANKRD24	0.00000E+00	0.4056987060588	0	Unclassified	Eurexp|euxassay_003012|cochlea, olfactory, pituitary, vagus X, vestibulocochlear VIII	
ANKRD30BL	ANKRD30BL	0.00000E+00	0.46874048934204	0		BrainSpLMD|554226	
ANKRD33B	ANKRD33B	0.00000E+00	0.462823638644975	0			
ANO5	ANO5	0.00000E+00	0.450526066293221	0	Integral membrane protein	BrainSpLMD|203859	OMIM|608662;HPO|203859|Adult onset, Autosomal dominant inheritance, Autosomal recessive inheritance, Bowing of the long bones, Broad jaw, Calf muscle hypertrophy, Diaphyseal cortical sclerosis, Difficulty climbing stairs, Difficulty running, Distal muscle weakness, EMG: myopathic abnormalities, Elevated serum creatine phosphokinase, Facial palsy, Increased susceptibility to fractures, Mandibular osteomyelitis, Muscular dystrophy, Myalgia, Osteopenia, Pelvic girdle muscle weakness, Progressive, Proximal muscle weakness, Quadriceps muscle atrophy, Shoulder girdle muscle weakness, Thickened cortex of long bones, Variable expressivity
ARHGEF3	ARHGEF3	0.00000E+00	0.431761554166133	0	Guanine nucleotide exchange factor	BrainSpLMD|50650	OMIM|612115
ART3	ART3	0.00000E+00	0.612453254881449	0	Enzyme: Ribosyltransferase	BrainSpLMD|419;Eurexp|euxassay_010316|facial VII, glossopharyngeal IX, vestibulocochlear VIII	OMIM|603086
ATP6V1H	ATP6V1H	0.00000E+00	0.418385036906118	0	ATPase	BrainSpLMD|51606;Eurexp|euxassay_000538|brain, central nervous system, ganglion, nerve, spinal cord	OMIM|608861
BICC1	BICC1	0.00000E+00	0.432533675447165	0	RNA binding protein	BrainSpLMD|80114	OMIM|614295
BTBD9	BTBD9	0.00000E+00	0.4205328403078	0	Unclassified	BrainSpLMD|114781	OMIM|611237
CACNA1C	CACNA1C	0.00000E+00	0.461979736493547	0	Voltage gated channel	BrainSpLMD|775	SFARI||Autism, No category;OMIM|114205;HPO|775|Atrial fibrillation, Autosomal dominant inheritance, Cutaneous syndactyly, Depressed nasal bridge, Global developmental delay, J wave, Microdontia, Prolonged QT interval, Recurrent infections, Round face, Shortened QT interval, Sudden cardiac death, Sudden death, Syncope, Thin upper lip vermilion, Ventricular arrhythmia
CAMK1D	CAMK1D	0.00000E+00	0.489495372660772	0	Serine/threonine kinase	BrainSpLMD|57118	OMIM|607957
CAMKK1	CAMKK1	0.00000E+00	0.63202345005336	0	Serine/threonine kinase	BrainSpLMD|84254	OMIM|611411
CCDC144A	CCDC144A	0.00000E+00	0.539749894802769	0	Unclassified	BrainSpLMD|9720	
CDC40	CDC40	0.00000E+00	0.50197356445889	0	Transcription regulatory protein	BrainSpLMD|51362;Eurexp|euxassay_012662|choroid plexus, floorplate, olfactory	OMIM|605585
CDH22	CDH22	0.00000E+00	0.599865433567464	0	Adhesion molecule	BrainSpLMD|64405	SFARI||Autism, 4 - Minimal evidence;OMIM|609920
CELF5	CELF5	0.00000E+00	0.53473157591472	0	RNA binding protein	BrainSpLMD|60680	OMIM|612680
CHRM3-AS2	CHRM3-AS2	0.00000E+00	0.567328988837364	0			
CNGB1	CNGB1	0.00000E+00	0.400107893833508	0	Intracellular ligand gated channel	BrainSpLMD|1258	OMIM|600724;HPO|1258|Abnormal electroretinogram, Abnormality of retinal pigmentation, Abnormality of the retinal vasculature, Abnormality of the testis, Anteverted nares, Atypical scarring of skin, Autosomal recessive inheritance, Blindness, Bone spicule pigmentation of the retina, Cataract, Conductive hearing impairment, Glaucoma, Hyperinsulinemia, Hypogonadism, Hypoplasia of penis, Intellectual disability, Keratoconus, Nyctalopia, Nystagmus, Obesity, Ophthalmoplegia, Optic atrophy, Peripheral visual field loss, Photophobia, Progressive night blindness, Rod-cone dystrophy, Sensorineural hearing impairment, Wide nasal bridge
CNTN3	CNTN3	0.00000E+00	0.579039659861386	0	Immunoglobulin	Eurexp|euxassay_009023|mantle layer, marginal layer, ventral grey horn;BrainSpMouseDev|18254	SFARI||Autism, No category;OMIM|601325
COL24A1	COL24A1	0.00000E+00	0.755125165748363	0	Extracellular matrix protein	BrainSpLMD|255631;Eurexp|euxassay_016385|clavicle, femur, humerus, mandible, maxilla, orbito-sphenoid, rib, scapula;BrainSpMouseDev|47196	OMIM|610025
COL26A1	COL26A1	0.00000E+00	0.454808168418246	0	Extracellular matrix protein	BrainSpLMD|136227;Eurexp|euxassay_003830|alimentary system, cardiovascular system, cavities and their linings, gland, integumental system, limb, mesenchyme, renal/urinary system, reproductive system, respiratory system, skeleton, tail, vertebral axis muscle system	OMIM|608927
CPNE8	CPNE8	0.00000E+00	0.536228479707731	0	Unclassified	BrainSpLMD|144402	
CSTF3	CSTF3	0.00000E+00	0.408950750947834	0	RNA binding protein	BrainSpLMD|1479;Eurexp|euxassay_003441|cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, submandibular gland primordium, thoracic, thymus primordium, trigeminal V, vagus X, vibrissa	OMIM|600367
CTDSPL	CTDSPL	0.00000E+00	0.42428956770285	0	Enzyme: Phosphatase	BrainSpLMD|10217	OMIM|608592
CYP1B1-AS1	CYP1B1-AS1	0.00000E+00	0.417316389725006	0		BrainSpLMD|285154	
CYP46A1	CYP46A1	0.00000E+00	0.506549165655755	0	Enzyme: Hydroxylase	BrainSpLMD|10858	OMIM|604087
DCAF6	DCAF6	0.00000E+00	0.458541222909523	0	Transcription regulatory protein	BrainSpLMD|55827	OMIM|610494
DDRGK1	DDRGK1	0.00000E+00	0.508570302079606	0	Unclassified	BrainSpLMD|65992	OMIM|616177
DGKA	DGKA	0.00000E+00	0.430111202595268	0	Enzyme: Phosphotransferase	BrainSpLMD|1606;Eurexp|euxassay_018846|dorsal root ganglion, ear, epithelium, glossopharyngeal IX, naris, oesophagus, olfactory, oral epithelium, pharyngo-tympanic tube, pharynx, respiratory, stomach, thymus primordium, thyroid, trachea, trigeminal V, vestibulocochlear VIII, vibrissa	OMIM|125855
DNAJC10	DNAJC10	0.00000E+00	0.430549755517129	0	Unclassified	BrainSpLMD|54431	OMIM|607987
DOC2A	DOC2A	0.00000E+00	0.474372681574091	0	Calcium binding protein	BrainSpLMD|8448	OMIM|604567
DOK6	DOK6	0.00000E+00	0.528271477267636	0	Adapter molecule	BrainSpLMD|220164;Eurexp|euxassay_013254|dorsal root ganglion, facial VII, forebrain, glossopharyngeal IX, hindbrain, midbrain, spinal cord, trigeminal V	OMIM|611402
