id	symbol	p_val|float	avg_logFC|float	p_val_adj|float	_hprdClass	_expr	_geneLists
ACSL3	ACSL3	0.00000E+00	0.481558392347416	0	Enzyme: Ligase	BrainSpLMD|2181;Eurexp|euxassay_006620|embryo	OMIM|602371;COSMIC||prostate
ACSL6	ACSL6	0.00000E+00	0.633301623705002	0	Enzyme: Synthase	BrainSpLMD|23305;Eurexp|euxassay_018903|diencephalon, dorsal root ganglion, facial VII, glossopharyngeal IX, hindbrain, mantle layer, marginal layer, midbrain, neural retina, olfactory, spinal cord, stroma, trigeminal V, vestibulocochlear VIII	OMIM|604443;COSMIC||AML, AEL
ADGRA1	ADGRA1	0.00000E+00	0.44742548471185	0	G protein coupled receptor	BrainSpLMD|84435;Eurexp|euxassay_009756|floorplate, mantle layer;BrainSpMouseDev|31869	OMIM|612302
AKAP5	AKAP5	0.00000E+00	0.480901451221684	0	Anchor protein	BrainSpLMD|9495	OMIM|604688
ANKRD34C	ANKRD34C	0.00000E+00	0.432704111247312	0			
ARNTL	ARNTL	0.00000E+00	0.61516747661426	0	Transcription factor	BrainSpLMD|406;Eurexp|euxassay_000108|haemolymphoid system, neural retina, pituitary, retina, spleen primordium, thalamus, thymus primordium;BrainSpMouseDev|11652	OMIM|602550
ARPC5L	ARPC5L	0.00000E+00	0.410937939992636	0	Unclassified	BrainSpLMD|81873;Eurexp|euxassay_001950|basal plate, dorsal root ganglion, facial VII, glossopharyngeal IX, incisor, olfactory, submandibular gland primordium, thymus primordium, trigeminal V, vagus X, ventral grey horn, ventricular layer, vibrissa	
BEX5	BEX5	0.00000E+00	0.443371267043513	0	Unclassified		OMIM|300693
BHLHE22	BHLHE22	0.00000E+00	0.576738916944579	0	Unclassified	BrainSpLMD|27319;BrainSpMouseDev|37621	OMIM|613483
BNIP3	BNIP3	0.00000E+00	0.544518560524692	0	Unclassified	BrainSpLMD|664;Eurexp|euxassay_004164|axial skeleton, clavicle, epithelium, mesenchyme, midgut, olfactory, stomach, ventricle	OMIM|603293
BTBD3	BTBD3	0.00000E+00	0.658823218258059	0	Unclassified	BrainSpLMD|22903;Eurexp|euxassay_006662|adenohypophysis, anterior, axial skeleton, cartilaginous ring, cervical, cervico-thoracic, clavicle, diaphragm, epithelium, glossopharyngeal IX, lip, mantle layer, marginal layer, mesenchyme, oral epithelium, pectoralis major, pectoralis minor, phalanx, posterior, thoracic, trigeminal V, vagus X, ventral grey horn, vestibulocochlear VIII	OMIM|615566
C16orf45	C16orf45	0.00000E+00	0.480075145293004	0	Unclassified	BrainSpLMD|89927;Eurexp|euxassay_002917|brain, cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, marginal layer, penis, spinal cord, stroma, thoracic, trigeminal V, vagus X, vestibulocochlear VIII	
C1orf115	C1orf115	0.00000E+00	0.614324051102566	0	Unclassified	BrainSpLMD|79762	
CAMK2G	CAMK2G	0.00000E+00	0.501723558073934	0	Serine/threonine kinase	BrainSpLMD|818;Eurexp|euxassay_017931|brain, dorsal root ganglion, facial VII, glossopharyngeal IX, olfactory, spinal cord, trigeminal V, vagus X, vestibulocochlear VIII	OMIM|602123
CAMTA1	CAMTA1	0.00000E+00	0.569161356069671	0	Unclassified	BrainSpLMD|23261;BrainSpMouseDev|64242	SFARI||Autism, 5 - Hypothesized but untested;OMIM|611501;COSMIC||epithelioid haemangioendothelioma;HPO|23261|Anteverted nares, Autosomal dominant inheritance, Bulbous nose, Cerebral cortical atrophy, Delayed speech and language development, Dysarthria, Dysmetria, Global developmental delay, Intellectual disability, mild, Long face, Long philtrum, Neonatal hypotonia, Pointed chin, Thick lower lip vermilion, Unsteady gait
CCDC186	CCDC186	0.00000E+00	0.471226277957156	0	Unclassified	BrainSpLMD|55088	
CCNG2	CCNG2	0.00000E+00	0.435702977425176	0	Cell cycle control protein	BrainSpLMD|901;Eurexp|euxassay_007291|embryo	OMIM|603203
