id	symbol	p_val|float	avg_logFC|float	p_val_adj|float	_hprdClass	_expr	_geneLists
ABRACL	ABRACL	0.00000E+00	0.427175689455481	0	Unclassified	BrainSpLMD|58527	
ACTN2	ACTN2	0.00000E+00	0.539223558861437	0	Cytoskeletal associated protein	BrainSpLMD|88	OMIM|102573;HPO|88|Autosomal dominant inheritance, Dilated cardiomyopathy, Endocardial fibroelastosis, Endocardial fibrosis, Phenotypic variability
ACVR2A	ACVR2A	0.00000E+00	0.464720278306382	0	Receptor serine/threonine kinase	BrainSpLMD|92;BrainSpMouseDev|11268	OMIM|102581;COSMIC||large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus
ADD3	ADD3	0.00000E+00	0.54511340026916	0	Cytoskeletal associated protein	BrainSpLMD|120;Eurexp|euxassay_002919|chondrocranium, epithelium, glandular mucous membrane, lumen, mantle layer, pancreas, ventral grey horn, ventricular layer, vertebral axis muscle system	OMIM|601568;HPO|120|Abnormal pyramidal signs, Autosomal recessive inheritance, Cognitive impairment, Dysphagia, Exotropia, Global developmental delay, Infantile onset, Microcephaly, Nystagmus, Poor speech, Spastic diplegia, Spastic tetraplegia, Supranuclear gaze palsy, Variable expressivity
ADTRP	ADTRP	0.00000E+00	0.510055468677905	0	Unclassified	BrainSpLMD|84830	OMIM|614348
ANKRD33B	ANKRD33B	0.00000E+00	0.451353895749507	0			
ANKRD62	ANKRD62	0.00000E+00	0.560720170243576	0			
AP3S1	AP3S1	0.00000E+00	0.453035414050622	0	Adapter molecule	BrainSpLMD|1176	OMIM|601507
ARSJ	ARSJ	0.00000E+00	0.632533709509863	0	Enzyme: Sulphatase	BrainSpLMD|79642	OMIM|610010
ASAP2	ASAP2	0.00000E+00	0.446135920027884	0	GTPase activating protein	BrainSpLMD|8853	OMIM|603817
ASPHD2	ASPHD2	0.00000E+00	0.413388585008081	0	Enzyme: Hydroxylase	BrainSpLMD|57168	
BAIAP3	BAIAP3	0.00000E+00	0.497729384654181	0	Unclassified	BrainSpLMD|8938;BrainSpMouseDev|144469	OMIM|604009
BBS7	BBS7	0.00000E+00	0.443615907365792	0	Unclassified	BrainSpLMD|55212	OMIM|607590;HPO|55212|Abnormal electroretinogram, Autosomal recessive inheritance, External genital hypoplasia, Hypertension, Hypogonadism, Hypoplasia of penis, Hypoplasia of the ovary, Intellectual disability, Multicystic kidney dysplasia, Nystagmus, Obesity, Pigmentary retinopathy, Polydactyly, Postaxial hand polydactyly, Rod-cone dystrophy, Short stature
CD47	CD47	0.00000E+00	0.589380920557813	0	Unclassified	BrainSpLMD|961;Eurexp|euxassay_003895|dorsal root ganglion, floorplate, glossopharyngeal IX, left, lip, mantle layer, marginal layer, olfactory, right, thalamus, thymus primordium, trigeminal V, ventral grey horn;BrainSpMouseDev|16196	OMIM|601028
CDH11	CDH11	0.00000E+00	0.489448487781643	0	Cell junction protein	BrainSpLMD|1009;BrainSpMouseDev|12337	SFARI||Autism, No category;OMIM|600023;COSMIC||aneurysmal bone cyst
CDK5R1	CDK5R1	0.00000E+00	0.508839125962976	0	Regulatory/other subunit	BrainSpLMD|8851;BrainSpMouseDev|12354	OMIM|603460
COL19A1	COL19A1	0.00000E+00	0.552566527524177	0	Extracellular matrix protein	BrainSpLMD|1310;Eurexp|euxassay_009024|basioccipital bone, basisphenoid bone, clavicle, exoccipital bone, fibula, frontal bone primordium, mandible, maxilla, metatarsus, nasal septum, orbito-sphenoid, otic capsule, parietal bone, petrous part, phalanx, rib, tarsus, tibia, turbinate, vault of skull	OMIM|120165
COMMD2	COMMD2	0.00000E+00	0.454344090278653	0	Unclassified	BrainSpLMD|51122	OMIM|616699
CSAD	CSAD	0.00000E+00	0.52874264955978	0	Enzyme: Decarboxylase	BrainSpLMD|51380	OMIM|616569
