id	symbol	p_val|float	avg_logFC|float	p_val_adj|float	_hprdClass	_expr	_geneLists
ADGRG6	ADGRG6	0.00000E+00	0.472654325648257	0	G protein coupled receptor	BrainSpLMD|57211	OMIM|612243;HPO|57211|Adducted thumb, Anteverted nares, Autosomal recessive inheritance, Congenital contracture, Decreased fetal movement, Depressed nasal bridge, Hypertelorism, Intrauterine growth retardation, Low-set ears, Micrognathia, Phenotypic variability, Polyhydramnios, Pulmonary hypoplasia, Talipes equinovarus, Thin upper lip vermilion, Triangular face, Ulnar deviation of the hand
ANO1	ANO1	0.00000E+00	0.649424000756956	0	Integral membrane protein	BrainSpLMD|55107;Eurexp|euxassay_018127|calyces, cochlea, left lung, mandible, mantle layer, maxilla, midgut, olfactory, pelvis, rectum, retina, right lung, stomach, submandibular gland primordium, ureter, utricle, valve, ventricular layer	OMIM|610108
ATP11C	ATP11C	0.00000E+00	0.697797667051386	0	ATPase	BrainSpLMD|286410;Eurexp|euxassay_010318|choroid invagination, choroid plexus, roof plate	OMIM|300516
CA13	CA13	0.00000E+00	0.576595257390535	0	Enzyme: Carbonic anhydrase	BrainSpLMD|377677;Eurexp|euxassay_018974|anterior abdominal wall, axial muscle, bladder, cochlea, cortex, frenulum, inner ear, mandible, maxilla, meninges, oesophagus, pectoral girdle and thoracic body wall, petrous part, proventricular region, submandibular gland primordium, trachea, ureter, utricle	OMIM|611436
CA3	CA3	0.00000E+00	0.896871939155306	0	Enzyme: Carbonic anhydrase	BrainSpLMD|761;Eurexp|euxassay_018703|axial skeleton, cranium, ductus deferens, fundus region, mandible, maxilla, mesenchyme, nucleus pulposus, oesophagus, pelvis, rib, skeleton, vertebral axis muscle system;BrainSpMouseDev|12135	OMIM|114750
CALB1	CALB1	0.00000E+00	0.734686744121026	0	Calcium binding protein	BrainSpLMD|793;Eurexp|euxassay_017865|cortex, dorsal root ganglion, excretory component, glossopharyngeal IX, inner ear, left lung, mantle layer, marginal layer, midgut, olfactory, perioptic mesenchyme, pharyngo-tympanic tube, rest of skin, right lung, stomach, trigeminal V, vagus X;BrainSpMouseDev|12092	OMIM|114050
CDCA7	CDCA7	0.00000E+00	0.657082084782375	0	Cell cycle control protein	BrainSpLMD|83879	OMIM|609937;HPO|83879|Abnormality of chromosome stability, Abnormality of neutrophils, Anemia, Autosomal recessive inheritance, Cellular immunodeficiency, Communicating hydrocephalus, Conductive hearing impairment, Cryptorchidism, Decreased antibody level in blood, Depressed nasal bridge, Flat face, Global developmental delay, Hypertelorism, Hypoplastic ischia, Hypospadias, Intellectual disability, Intrauterine growth retardation, Low-set ears, Lymphopenia, Macrocephaly, Malabsorption, Microcephaly, Micrognathia, Polydactyly, Recurrent respiratory infections, Short nose, Short stature, Strabismus
CHRDL1	CHRDL1	0.00000E+00	0.683459437507845	0	Secreted polypeptide	BrainSpLMD|91851	OMIM|300350
CHST9	CHST9	0.00000E+00	0.958939573623616	0	Enzyme: Sulphotransferase	BrainSpLMD|83539	OMIM|610191
COL25A1	COL25A1	0.00000E+00	0.789492643521	0	Extracellular matrix protein	BrainSpLMD|84570	OMIM|610004;HPO|84570|Abnormal vertebral segmentation and fusion, Anteverted nares, Autosomal recessive inheritance, Blepharophimosis, Congenital onset, Deeply set eye, Low posterior hairline, Oculomotor nerve palsy, Ptosis, Sensorineural hearing impairment, Short palpebral fissure, Strabismus
COL4A1	COL4A1	0.00000E+00	0.572008441334082	0	Extracellular matrix protein	BrainSpLMD|1282;Eurexp|euxassay_017239|choroid plexus, mesenchyme, testis;BrainSpMouseDev|12609	OMIM|120130;HPO|1282|Abnormal aldolase level, Abnormal lactate dehydrogenase activity, Abnormal levels of creatine kinase in blood, Absent septum pellucidum, Agenesis of corpus callosum, Anophthalmia, Aplasia/Hypoplasia involving the skeletal musculature, Areflexia, Autosomal dominant inheritance, Babinski sign, Blurred vision, Cerebellar atrophy, Cerebellar hypoplasia, Chorioretinal dysplasia, Corneal opacity, Cryptorchidism, Dandy-Walker malformation, Dilatation of the cerebral artery, Elevated serum creatine phosphokinase, Exotropia, Facial paralysis, Glaucoma, Global developmental delay, Hematuria, Hemiparesis, Hemiplegia, Hemolytic anemia, Hydrocephalus, Hypopigmentation of the fundus, Hypoplasia of penis, Hyporeflexia, Intellectual disability, Ischemic stroke, Leukoencephalopathy, Limb dystonia, Lissencephaly, Macrocephaly, Macrogyria, Metatarsus valgus, Microphthalmia, Migraine with aura, Muscle cramps, Muscle weakness, Muscular dystrophy, Muscular hypotonia, Nephropathy, Optic atrophy, Pachygyria, Polymicrogyria, Porencephalic cyst, Posterior leukoencephalopathy, Raynaud phenomenon, Renal cyst, Renal insufficiency, Retinal arteriolar tortuosity, Retinal detachment, Retinal dysplasia, Retinal dystrophy, Retinal hemorrhage, Schizencephaly, Scotoma, Seizures, Skeletal muscle atrophy, Spasticity, Specific learning disability, Supraventricular arrhythmia, Tetraparesis, Variable expressivity, Visual field defect, Visual loss
COL4A2	COL4A2	0.00000E+00	0.79787940123327	0	Extracellular matrix protein	BrainSpLMD|1284;BrainSpMouseDev|12610	OMIM|120090;HPO|1284|Autosomal dominant inheritance, Global developmental delay, Hemiplegia, Incomplete penetrance, Intracranial hemorrhage, Porencephalic cyst, Seizures, Spasticity, Variable expressivity, Ventriculomegaly
CRABP1	CRABP1	0.00000E+00	0.43448624531321	0	Transport/cargo protein	BrainSpLMD|1381	OMIM|180230
EYA4	EYA4	0.00000E+00	1.3281309503156	0	Transcription regulatory protein	BrainSpLMD|2070;BrainSpMouseDev|13828	OMIM|603550;HPO|2070|Abnormal cardiac ventricular function, Autosomal dominant inheritance, Congestive heart failure, Dilated cardiomyopathy, Hearing impairment, Recurrent infections of the middle ear, Sensorineural hearing impairment, Sudden cardiac death
GLT8D2	GLT8D2	0.00000E+00	0.725511499476435	0	Enzyme: Transferase	BrainSpLMD|83468	
GNG4	GNG4	0.00000E+00	0.79852328997449	0	G protein	BrainSpLMD|2786	OMIM|604388
HAPLN1	HAPLN1	0.00000E+00	1.11027335741204	0	Extracellular matrix protein	BrainSpLMD|1404	OMIM|115435
