id	symbol	p_val|float	avg_logFC|float	p_val_adj|float	_hprdClass	_expr	_geneLists
ADAMTSL3	ADAMTSL3	0.00000E+00	0.651602895149749	0	Metallo protease	BrainSpLMD|57188	OMIM|609199
ATP11C	ATP11C	0.00000E+00	0.749063276778479	0	ATPase	BrainSpLMD|286410;Eurexp|euxassay_010318|choroid invagination, choroid plexus, roof plate	OMIM|300516
CA2	CA2	0.00000E+00	0.826352565474773	0	Enzyme: Carbonic anhydrase	BrainSpLMD|760;Eurexp|euxassay_018564|Meckel's cartilage, bladder, choroid plexus, cochlear duct, fundus region, incisor, lateral recess, lobe, lumen, lung, molar, rectum;BrainSpMouseDev|12134	OMIM|611492;HPO|760|Abnormality of dental morphology, Abnormality of epiphysis morphology, Abnormality of the renal tubule, Anemia, Aseptic necrosis, Autosomal recessive inheritance, Basal ganglia calcification, Bone pain, Carious teeth, Cerebral calcification, Cranial hyperostosis, Dental malocclusion, Diaphyseal sclerosis, Distal renal tubular acidosis, Elevated serum acid phosphatase, Extramedullary hematopoiesis, Failure to thrive, Genu valgum, Global developmental delay, Hepatomegaly, Hepatosplenomegaly, Intellectual disability, Mandibular prognathia, Optic nerve compression, Osteopetrosis, Periodic hypokalemic paresis, Peripheral neuropathy, Recurrent fractures, Reduced bone mineral density, Short stature, Splenomegaly, Thrombocytopenia, Visual loss
CDCA7	CDCA7	0.00000E+00	0.669958805172608	0	Cell cycle control protein	BrainSpLMD|83879	OMIM|609937;HPO|83879|Abnormality of chromosome stability, Abnormality of neutrophils, Anemia, Autosomal recessive inheritance, Cellular immunodeficiency, Communicating hydrocephalus, Conductive hearing impairment, Cryptorchidism, Decreased antibody level in blood, Depressed nasal bridge, Flat face, Global developmental delay, Hypertelorism, Hypoplastic ischia, Hypospadias, Intellectual disability, Intrauterine growth retardation, Low-set ears, Lymphopenia, Macrocephaly, Malabsorption, Microcephaly, Micrognathia, Polydactyly, Recurrent respiratory infections, Short nose, Short stature, Strabismus
CHRDL1	CHRDL1	0.00000E+00	0.45691588078046	0	Secreted polypeptide	BrainSpLMD|91851	OMIM|300350
CPLX3	CPLX3	0.00000E+00	0.791423847046527	0	Unclassified	BrainSpLMD|594855	OMIM|609585
CXCL14	CXCL14	0.00000E+00	2.00299963271038	0	Chemokine	BrainSpLMD|9547	OMIM|604186
DUSP4	DUSP4	0.00000E+00	0.622458354242673	0	Dual specificity phosphatase	BrainSpLMD|1846;Eurexp|euxassay_008070|brain, olfactory, spinal cord	OMIM|602747
EYA4	EYA4	0.00000E+00	1.08022394317474	0	Transcription regulatory protein	BrainSpLMD|2070;BrainSpMouseDev|13828	OMIM|603550;HPO|2070|Abnormal cardiac ventricular function, Autosomal dominant inheritance, Congestive heart failure, Dilated cardiomyopathy, Hearing impairment, Recurrent infections of the middle ear, Sensorineural hearing impairment, Sudden cardiac death
FREM1	FREM1	0.00000E+00	1.42921155312872	0	Unclassified	BrainSpLMD|158326;Eurexp|euxassay_016475|mantle layer, olfactory, ventricular layer	OMIM|608944;HPO|158326|Abnormal hair pattern, Abnormality of the 5th toe, Abnormality of the hair, Abnormality of the kidney, Anal stenosis, Anophthalmia, Anteriorly placed anus, Autosomal dominant inheritance, Autosomal recessive inheritance, Bifid nose, Bulbous nose, Cleft eyelid, Hypertelorism, Hypotelorism, Metopic synostosis, Microphthalmia, Nasolacrimal duct obstruction, Omphalocele, Prominent supraorbital ridges, Rectovaginal fistula, Renal agenesis, Short lingual frenulum, Short philtrum, Synophrys, Trigonocephaly, Upper eyelid coloboma, Wide nasal bridge
