id	symbol	p_val|float	avg_logFC|float	p_val_adj|float	_hprdClass	_expr	_geneLists
ADRA1D	ADRA1D	0.00000E+00	0.486356738533315	0	G protein coupled receptor	BrainSpLMD|146	OMIM|104219
BMP2	BMP2	0.00000E+00	0.734217884309163	0	Ligand	BrainSpLMD|650;Eurexp|euxassay_013498|metanephros, vibrissa;BrainSpMouseDev|11942	OMIM|112261;HPO|650|2-3 toe syndactyly, Aplasia/Hypoplasia of the middle phalanges of the toes, Aplasia/Hypoplasia of the middle phalanx of the 2nd finger, Aplasia/Hypoplasia of the middle phalanx of the 5th finger, Autosomal dominant inheritance, Bracket epiphysis of the middle phalanx of the 2nd finger, Bracket epiphysis of the middle phalanx of the 5th finger, Broad hallux, Clinodactyly of the 5th finger, Downslanted palpebral fissures, Epicanthus, Global developmental delay, Hallux valgus, Hypertelorism, Hypoplasia of the maxilla, Macrocephaly, Malar flattening, Medially deviated second toe, Narrow mouth, Radial deviation of the 2nd finger, Short 2nd finger, Short foot, Short hallux, Short middle phalanx of the 5th finger, Short stature, Triangular shaped middle phalanx of the 2nd finger, Triangular shaped middle phalanx of the 5th finger, Type A2 brachydactyly, Ulnar deviation of the 2nd finger, Wolff-Parkinson-White syndrome
BMP6	BMP6	0.00000E+00	0.635884017348103	0	Ligand	BrainSpLMD|654;BrainSpMouseDev|11947	OMIM|112266
CNR1	CNR1	0.00000E+00	1.12535937187297	0	G protein coupled receptor	BrainSpLMD|1268;BrainSpMouseDev|12584	SFARI||Autism, 3 - Suggestive evidence;OMIM|114610
COL21A1	COL21A1	0.00000E+00	1.16194277113267	0	Extracellular matrix protein	BrainSpLMD|81578	OMIM|610002
CORT	CORT	0.00000E+00	0.436937386330955	0	Peptide hormone	BrainSpMouseDev|12637	OMIM|602784
CXCL14	CXCL14	0.00000E+00	3.40601830583187	0	Chemokine	BrainSpLMD|9547	OMIM|604186
DDR2	DDR2	0.00000E+00	0.834106702538483	0	Receptor tyrosine kinase	BrainSpLMD|4921;Eurexp|euxassay_010957|mandible, maxilla, midgut, oesophagus, stomach;BrainSpMouseDev|17981	OMIM|191311;COSMIC||squamous cell carcinoma, NSCLC, Spondylometaepiphyseal dysplasia, short limb-hand type;HPO|4921|Abnormal calcification of the carpal bones, Abnormality of the neck, Anterior rib cupping, Atlantoaxial instability, Autosomal recessive inheritance, Bell-shaped thorax, Bowing of the legs, Broad metacarpals, Broad phalanx, C1-C2 subluxation, Calcification of falx cerebri, Depressed nasal bridge, Disproportionate short-limb short stature, Elbow flexion contracture, Epiphyseal stippling, Flared iliac wings, Flared metaphysis, Frontal bossing, Generalized hypotonia, Global developmental delay, High palate, Hip subluxation, Hypertelorism, Hypoplasia of the odontoid process, Knee flexion contracture, Long fibula, Malar flattening, Metatarsus adductus, Micrognathia, Micromelia, Midface retrusion, Muscular hypotonia, Pectus excavatum, Platyspondyly, Posterior rib cupping, Progressive calcification of costochondral cartilage, Proptosis, Recurrent pneumonia, Restrictive ventilatory defect, Scoliosis, Short long bone, Short metacarpal, Short nose, Short phalanx of finger, Short ribs, Spinal cord compression, Spondyloepimetaphyseal dysplasia, Syringomyelia, Thoracic hypoplasia, Tracheal calcification, Triangular shaped distal phalanges of the hand
FREM1	FREM1	0.00000E+00	1.75011625166261	0	Unclassified	BrainSpLMD|158326;Eurexp|euxassay_016475|mantle layer, olfactory, ventricular layer	OMIM|608944;HPO|158326|Abnormal hair pattern, Abnormality of the 5th toe, Abnormality of the hair, Abnormality of the kidney, Anal stenosis, Anophthalmia, Anteriorly placed anus, Autosomal dominant inheritance, Autosomal recessive inheritance, Bifid nose, Bulbous nose, Cleft eyelid, Hypertelorism, Hypotelorism, Metopic synostosis, Microphthalmia, Nasolacrimal duct obstruction, Omphalocele, Prominent supraorbital ridges, Rectovaginal fistula, Renal agenesis, Short lingual frenulum, Short philtrum, Synophrys, Trigonocephaly, Upper eyelid coloboma, Wide nasal bridge
HAPLN1	HAPLN1	0.00000E+00	0.645866709093736	0	Extracellular matrix protein	BrainSpLMD|1404	OMIM|115435
LINC00298	LINC00298	0.00000E+00	0.456518150186692	0			
MYH11	MYH11	0.00000E+00	0.685860360221937	0	Structural protein	BrainSpLMD|4629	OMIM|160745;COSMIC||AML;HPO|4629|Abdominal distention, Abnormal iris pigmentation, Abnormality of the iris, Aortic regurgitation, Ascending aortic dissection, Autosomal dominant inheritance, Bicuspid aortic valve, Cardiomegaly, Chest pain, Coronary artery disease, Cutis marmorata, Cystic medial necrosis, Cystic medial necrosis of the aorta, Descending aortic dissection, Dilatation of ascending aorta, Dilatation of the descending aortic, Dissecting aortic dilatation, Exertional dyspnea, Hydroureter, Hypertension, Hypoperistalsis, Intestinal malrotation, Left ventricular failure, Megacystis, Microcolon, Multicystic kidney dysplasia, Nausea and vomiting, Paroxysmal dyspnea, Patent ductus arteriosus, Polyhydramnios
NDNF	NDNF	0.00000E+00	1.40891107849033	0	Unclassified	BrainSpLMD|79625;Eurexp|euxassay_004095|body-wall mesenchyme, epithelium, intervertebral disc, left lung, mantle layer, marginal layer, mesenchyme, molar, right lung, ventricular layer, vertebral cartilage condensation, vertebral pre-cartilage condensation, vibrissa;BrainSpMouseDev|44012	OMIM|616506
NECAB2	NECAB2	0.00000E+00	0.817845325237071	0	Unclassified	BrainSpLMD|54550;Eurexp|euxassay_008081|mantle layer, trigeminal V;BrainSpMouseDev|78444	
NMBR	NMBR	0.00000E+00	0.927331156774627	0	G protein coupled receptor	BrainSpLMD|4829;BrainSpMouseDev|17868	OMIM|162341
