id	symbol	p_val|float	avg_logFC|float	p_val_adj|float	_hprdClass	_expr	_geneLists
AAK1	AAK1	0.00000E+00	0.532596849424598	0	Cytoskeletal associated protein	BrainSpLMD|22848;Eurexp|euxassay_013375|dorsal root ganglion, facial VII, glossopharyngeal IX, trigeminal V, vagus X, vestibulocochlear VIII	OMIM|616405
ACSL6	ACSL6	0.00000E+00	0.576177775884212	0	Enzyme: Synthase	BrainSpLMD|23305;Eurexp|euxassay_018903|diencephalon, dorsal root ganglion, facial VII, glossopharyngeal IX, hindbrain, mantle layer, marginal layer, midbrain, neural retina, olfactory, spinal cord, stroma, trigeminal V, vestibulocochlear VIII	OMIM|604443;COSMIC||AML, AEL
ADARB1	ADARB1	0.00000E+00	0.586331401694589	0	Enzyme: Deaminase	BrainSpLMD|104;Eurexp|euxassay_013376|aorta, aortic sinus, iliac artery, valve	SFARI||Autism, No category;OMIM|601218
AFAP1	AFAP1	0.00000E+00	0.428387837048012	0	Adapter molecule	BrainSpLMD|60312	OMIM|608252
ALDH5A1	ALDH5A1	0.00000E+00	0.405025876374086	0	Enzyme: Dehydrogenase	BrainSpLMD|7915	SFARI||Autism, No category;OMIM|610045;HPO|7915|Abnormality of eye movement, Abnormality of metabolism/homeostasis, Absence seizures, Aggressive behavior, Anxiety, Ataxia, Autism, Autosomal recessive inheritance, Behavioral abnormality, Delayed speech and language development, EEG abnormality, Generalized hypotonia, Generalized myoclonic seizures, Generalized tonic-clonic seizures, Global developmental delay, Hallucinations, Hyperactivity, Hyperkinesis, Hyporeflexia, Infantile onset, Intellectual disability, Motor delay, Muscular hypotonia, Phenotypic variability, Psychosis, Self-injurious behavior, Status epilepticus
ANKRD18A	ANKRD18A	0.00000E+00	0.443853159645559	0	Unclassified	BrainSpLMD|253650	
ANKRD34C-AS1	ANKRD34C-AS1	0.00000E+00	0.53626702326377	0			
ARHGAP20	ARHGAP20	0.00000E+00	0.645193812923715	0	GTPase activating protein	BrainSpLMD|57569;Eurexp|euxassay_010398|mesenchyme	OMIM|609568
B4GALT6	B4GALT6	0.00000E+00	0.454819897695626	0	Enzyme: Galactosyltransferase	BrainSpLMD|9331;Eurexp|euxassay_008280|brain, cortex, dorsal root ganglion, facial VII, glossopharyngeal IX, liver, midgut, pancreas, pelvis, rectum, spinal cord, stomach, submandibular gland primordium, trigeminal V, vagus X, vestibulocochlear VIII	OMIM|604017
BCAT1	BCAT1	0.00000E+00	0.442351478727787	0	Enzyme: Aminotransferase	BrainSpLMD|586;Eurexp|euxassay_010499|brain, clavicle, facial VII, incisor, mandible, nasal septum, neural retina, orbito-sphenoid, rib, spinal cord, tongue, trigeminal V, turbinate bones;BrainSpMouseDev|11821	OMIM|113520
