id	symbol	p_val|float	avg_logFC|float	p_val_adj|float	_hprdClass	_expr	_geneLists
AATK	AATK	0.00000E+00	0.967809098160867	0	Tyrosine kinase	BrainSpMouseDev|11138	OMIM|605276
ABCA2	ABCA2	0.00000E+00	1.373573349837	0	Transport/cargo protein	BrainSpLMD|20;BrainSpMouseDev|11141	OMIM|600047
ABHD17B	ABHD17B	0.00000E+00	0.543494642570973	0	Unclassified	BrainSpLMD|51104	
ABTB2	ABTB2	0.00000E+00	0.625223452737107	0	Translation regulatory protein	BrainSpLMD|25841;Eurexp|euxassay_009127|arytenoid, axial skeleton, cartilaginous ring, cricoid, dorsal root ganglion, femur, fibula, footplate, handplate, mantle layer, marginal layer, medulla, mesenchyme, metatarsus, naris, otic capsule, paraxial mesenchyme, phalanx, primitive seminiferous tubules, rib, sternum, thyroid, tibia, turbinate bones, ventral grey horn, ventricular layer	
ACER3	ACER3	0.00000E+00	0.701944324497536	0	Enzyme: Hydrolase	BrainSpLMD|55331;Eurexp|euxassay_012582|vibrissa	OMIM|617036
ACYP2	ACYP2	0.00000E+00	0.498265199530312	0	Enzyme: Hydrolase	BrainSpLMD|98;Eurexp|euxassay_000133|myelohyoid, nucleus pulposus, pectoralis major, pectoralis minor, sublingual gland primordium, submandibular gland primordium, trigeminal V, turbinate, vagus X	OMIM|102595
ADAM10	ADAM10	0.00000E+00	0.560784277289554	0	Metallo protease	BrainSpLMD|102;Eurexp|euxassay_007598|anterior, dorsal root ganglion, epithelium, external, facial VII, glossopharyngeal IX, inner ear, lens, liver, naso-lacrimal duct, neural retina, olfactory, pectoral girdle and thoracic body wall, trigeminal V, vagus X;BrainSpMouseDev|11275	OMIM|602192;HPO|102|Autosomal dominant inheritance
ADAMTS4	ADAMTS4	0.00000E+00	0.641810621354158	0	Metallo protease	BrainSpLMD|9507;Eurexp|euxassay_004320|vibrissa	OMIM|603876
ADCY5	ADCY5	0.00000E+00	0.408716674400458	0	Adenylate cyclase	BrainSpLMD|111	SFARI||Autism, 4 - Minimal evidence;OMIM|600293;HPO|111|Anxiety, Autosomal dominant inheritance, Chorea, Dysarthria, Dyskinesia, Dystonia, Facial myokymia, Gait disturbance, Juvenile onset, Limb hypertonia
ADIPOR2	ADIPOR2	0.00000E+00	0.988884867791745	0	Integral membrane protein	BrainSpLMD|79602;Eurexp|euxassay_001439|dorsal root ganglion, glossopharyngeal IX, trigeminal V, vagus X	OMIM|607946
AFMID	AFMID	0.00000E+00	0.664006825565523	0	Unclassified		
AGPAT4	AGPAT4	0.00000E+00	0.956326874461652	0	Enzyme: Acyltransferase	BrainSpLMD|56895	OMIM|614795
AIF1L	AIF1L	0.00000E+00	0.6882807126302	0	Calcium binding protein	BrainSpLMD|83543;Eurexp|euxassay_002250|basisphenoid bone, orbito-sphenoid, turbinate, ventricular layer	
AK5	AK5	0.00000E+00	0.650426469755364	0	ATPase	BrainSpLMD|26289	OMIM|608009
AKAP6	AKAP6	0.00000E+00	0.570642543684503	0	Anchor protein	BrainSpLMD|9472;Eurexp|euxassay_011440|cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, meninges, neural retina, olfactory, skeletal muscle, thoracic, trigeminal V, vagus X, ventral grey horn, vestibulocochlear VIII, vomeronasal organ	OMIM|604691
ANK3	ANK3	0.00000E+00	0.634012788966911	0	Adapter molecule	BrainSpLMD|288;BrainSpMouseDev|11522	SFARI||Autism, No category;OMIM|600465;HPO|288|Aggressive behavior, Autosomal recessive inheritance, Bruxism, Generalized hypotonia, Hyperactivity, Intellectual disability, Intellectual disability, moderate, Spasticity
ANKIB1	ANKIB1	0.00000E+00	0.739965840110277	0	Unclassified		
ANKUB1	ANKUB1	0.00000E+00	0.58434613606577	0			
ANLN	ANLN	0.00000E+00	1.38197263283806	0	Structural protein	BrainSpLMD|54443;Eurexp|euxassay_004352|ventricular layer	OMIM|616027;HPO|54443|Autosomal dominant inheritance, Focal segmental glomerulosclerosis, Nephrotic syndrome, Proteinuria, Stage 5 chronic kidney disease
ANXA4	ANXA4	0.00000E+00	0.431843412064107	0	Calcium binding protein	BrainSpLMD|307;Eurexp|euxassay_000677|foregut-midgut junction, hindgut, lung, midgut, stomach, testis;BrainSpMouseDev|11533	OMIM|106491
APLP1	APLP1	0.00000E+00	1.27545165078007	0	Transcription regulatory protein;Unclassified	BrainSpLMD|333;Eurexp|euxassay_005371|adenohypophysis, brain, cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, male, nasal septum, neural retina, olfactory, respiratory, spinal cord, stroma, thoracic, trigeminal V, vagus X, vestibulocochlear VIII;BrainSpMouseDev|11590	OMIM|104775
APP	APP	0.00000E+00	0.602004210954537	0	Cell surface receptor	BrainSpLMD|351;BrainSpMouseDev|11607	SFARI||Autism, No category;OMIM|104760;HPO|351|Alzheimer disease, Autosomal dominant inheritance, Behavioral abnormality, Cerebellar hemorrhage, Cerebral amyloid angiopathy, Cerebral calcification, Cerebral hemorrhage, Cerebral ischemia, Coma, Dementia, Dysphagia, Febrile seizures, Gait disturbance, Global developmental delay, Headache, Heterogeneous, Intellectual disability, Long-tract signs, Memory impairment, Migraine, Myoclonus, Neurofibrillary tangles, Paresthesia, Parkinsonism, Recurrent cerebral hemorrhage, Seizures, Sensory impairment, Stroke, Tortuous cerebral arteries
ARAP2	ARAP2	0.00000E+00	0.820069706681647	0	GTPase activating protein	BrainSpLMD|116984	OMIM|606645
ARHGAP21	ARHGAP21	0.00000E+00	0.740219337831137	0	GTPase activating protein	BrainSpLMD|57584;Eurexp|euxassay_007662|dorsal root ganglion, glossopharyngeal IX, mantle layer, neural retina, trigeminal V, ventral grey horn	OMIM|609870
ARHGAP23	ARHGAP23	0.00000E+00	0.713411994495617	0			OMIM|610590
ARHGEF10	ARHGEF10	0.00000E+00	0.596668295075795	0	Guanine nucleotide exchange factor	BrainSpLMD|9639	OMIM|608136;HPO|9639|Adult onset, Autosomal dominant inheritance, Decreased nerve conduction velocity, Onion bulb formation, Peripheral demyelination
ARHGEF37	ARHGEF37	0.00000E+00	0.488159547697533	0		BrainSpLMD|389337	
ASPA	ASPA	0.00000E+00	1.16826935131751	0	Enzyme: Hydrolase	BrainSpLMD|443;Eurexp|euxassay_013641|clavicle, cornea, dorsal root ganglion, facial VII, glossopharyngeal IX, incisor, lung, mandible, mantle layer, maxilla, metanephros, neural retina, nucleus pulposus, olfactory, submandibular gland primordium, testis, trigeminal V, urethra, vagus X, ventral grey horn, vestibulocochlear VIII, vibrissa, vomeronasal organ	OMIM|608034;HPO|443|Abnormality of visual evoked potentials, Aplasia/Hypoplasia involving the central nervous system, Autosomal recessive inheritance, Blindness, Brain atrophy, CNS demyelination, Coma, Delayed closure of the anterior fontanelle, Delayed speech and language development, Developmental regression, Dysphagia, EEG abnormality, Gastroesophageal reflux, Generalized seizures, Global developmental delay, Hearing impairment, Intellectual disability, Lethargy, Macrocephaly, Mild global developmental delay, Muscular hypotonia, Nystagmus, Opisthotonus, Optic atrophy, Seizures, Sleep disturbance, Spasticity, Visual loss
ATG4C	ATG4C	0.00000E+00	0.87735821068982	0	Cysteine protease	BrainSpLMD|84938	OMIM|611339
ATP11A	ATP11A	0.00000E+00	0.476596511908038	0	ATPase	Eurexp|euxassay_018926|bladder, calyces, choroid plexus, dorsal root ganglion, facial VII, glossopharyngeal IX, meninges, midgut, nucleus pulposus, olfactory, renal/urinary system, submandibular gland primordium, thyroid, trigeminal V, urethra, vagus X, ventricular layer, vestibulocochlear VIII	OMIM|605868
ATP8A1	ATP8A1	0.00000E+00	0.891319879573004	0	ATPase	BrainSpLMD|10396;Eurexp|euxassay_018768|anterior, brain, cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, left lung, liver, neural retina, olfactory, rectum, right lung, spinal cord, thoracic, thymus primordium, trigeminal V, vagus X, vestibulocochlear VIII;BrainSpMouseDev|11766	SFARI||Autism, 5 - Hypothesized but untested;OMIM|609542
BACE1	BACE1	0.00000E+00	0.623923862857171	0	Aspartic protease	BrainSpLMD|23621	OMIM|604252
BAIAP2L2	BAIAP2L2	0.00000E+00	0.480954809112279	0	Unclassified	BrainSpLMD|80115	OMIM|617536
BBX	BBX	0.00000E+00	0.615255449470854	0	Transcription factor	BrainSpLMD|56987;Eurexp|euxassay_001866|cortex, mantle layer, pituitary, testis, ventricular layer;BrainSpMouseDev|46349	
BCAS3	BCAS3	0.00000E+00	0.543961102642827	0	Cell cycle control protein	BrainSpLMD|54828	OMIM|607470
BCL2L14	BCL2L14	0.00000E+00	0.457167097558361	0	Unclassified	BrainSpLMD|79370;Eurexp|euxassay_012659|excretory component, fundus region, rectum, submandibular gland primordium, thymus primordium, urethra	OMIM|606126
BCOR	BCOR	0.00000E+00	0.508087521972233	0	Transcription regulatory protein	BrainSpLMD|54880;Eurexp|euxassay_013800|incisor, molar, ventricular layer;BrainSpMouseDev|47299	OMIM|300485;COSMIC||retinoblastoma, AML, APL (translocation), Oculo-facio-cardio-dental genetic;HPO|54880|2-3 toe syndactyly, Abnormal palmar dermatoglyphics, Abnormality of dental morphology, Abnormality of the cardiac septa, Abnormality of the pinna, Aganglionic megacolon, Agenesis of maxillary lateral incisor, Aggressive behavior, Anal atresia, Anophthalmia, Aortic valve stenosis, Asymmetry of the ears, Atrial septal defect, Bicuspid aortic valve, Bifid nasal tip, Bifid uvula, Blepharophimosis, Blindness, Broad nasal tip, Broad palm, Camptodactyly, Camptodactyly of finger, Cataract, Chorioretinal coloboma, Ciliary body coloboma, Cleft upper lip, Clinodactyly, Clinodactyly of the 5th finger, Complete duplication of thumb phalanx, Congenital cataract, Cryptorchidism, Delayed eruption of teeth, Dental crowding, Dental malocclusion, Down-sloping shoulders, Exotropia, External ear malformation, Finger syndactyly, Flexion contracture of the 2nd toe, Flexion contracture of the 4th toe, Fused teeth, Generalized hypotonia, Glaucoma, Growth delay, Hammertoe, Hearing impairment, High, narrow palate, Hydronephrosis, Hydroureter, Hypospadias, Increased number of teeth, Intellectual disability, Intellectual disability, mild, Iris coloboma, Joint contracture of the hand, Kyphoscoliosis, Laterally curved eyebrow, Long face, Long philtrum, Low-set ears, Low-set, posteriorly rotated ears, Lumbar hyperlordosis, Microcephaly, Microcornea, Microphthalmia, Misalignment of teeth, Mitral valve prolapse, Motor delay, Narrow chest, Narrow face, Oligodontia, Optic nerve coloboma, Oral cleft, Overfolded helix, Patent ductus arteriosus, Pectus excavatum, Persistence of primary teeth, Posteriorly rotated ears, Prominent nasal bridge, Ptosis, Pulmonic stenosis, Pyloric stenosis, Radial deviation of finger, Radioulnar synostosis, Rectal prolapse, Recurrent otitis media, Remnants of the hyaloid vascular system, Renal hypoplasia, Renal hypoplasia/aplasia, Seizures, Self-mutilation, Sensorineural hearing impairment, Septate vagina, Short clavicles, Short stature, Spastic diplegia, Submucous cleft hard palate, Syndactyly, Thick eyebrow, Ventricular septal defect, Visual loss, Webbed neck, X-linked dominant inheritance, X-linked inheritance
