,ext_pet_vox_pls_0,domain
0,-3.515788417158154,face
1,-5.518609454906832,face
2,-4.227400897262919,face
3,-2.60695701758645,face
4,-0.872742323869523,face
5,1.9338009419013547,face
6,1.4725793954148125,face
7,-3.250648611800111,face
8,-2.0873938483108896,face
9,-0.9067328105999644,face
10,0.698836158208639,face
11,-4.242355450622654,face
12,-4.454570795145401,face
13,-4.349541036408832,face
14,-3.2845989724173337,face
15,-1.7694334968275083,face
16,-1.40080349044021,face
17,-1.9653379600908898,face
18,-1.105466855031072,face
19,0.40349477084248675,face
20,-2.847638761379376,face
21,-2.970082122921025,face
22,-4.88581532816749,face
23,-2.501942755423224,face
24,-2.3676570837616713,face
25,-3.048380127576003,face
26,-2.735137593200073,face
27,-3.863906244382345,face
28,-0.37432924536299467,face
29,0.5785022181753267,face
30,-0.6219142729684495,face
31,4.341176550788923,face
32,-4.5951107321834215,face
33,-3.5541435449121317,face
34,-3.427675170653403,face
35,-3.336421132095255,face
36,-2.059913340346364,face
37,-2.788039937066503,face
38,-2.5448855093757454,face
39,-2.4941365300382805,face
40,-2.8801642234146283,face
41,-1.8498426526028642,face
42,-2.607346381751296,face
43,-3.6479379709941977,face
44,-2.8026276526855693,face
45,-3.2886745791137555,face
46,-2.3083878244258806,face
47,-2.614101205241276,face
48,1.2360373668338671,face
49,-5.032354314706015,face
50,-3.6427338122418096,face
51,-3.646970700631064,face
52,-2.287877421666952,face
53,-2.3437627635359854,face
54,-3.109785999069037,face
55,-2.747565149523009,face
56,-4.147802386646793,face
57,-2.5151606008901934,face
58,-4.735767704599672,face
59,-1.7403494618535504,face
60,-2.3622652863778177,face
61,-2.381497184214131,face
62,-2.3402640097438567,face
63,-2.7311962862953334,face
64,-1.5511975166173677,face
65,-3.3783988779688903,face
66,-2.2400929957349507,face
67,-1.8414588181612026,face
68,-2.6621318142303747,face
69,-2.1752816540498134,face
70,-1.7425938720876202,face
71,-3.3431176759038728,face
72,-1.7272552944834163,face
73,-1.9224711534227132,face
74,-2.951327281703312,face
75,-1.5435791098206462,face
76,-2.9150169946910522,face
77,-1.518199522302353,face
78,-1.9271423717584806,face
79,-2.340729336256463,face
80,-2.4215912341713075,face
