,ext_pet_vox_pls_0,domain
0,-2.0257067582348403,face
1,-5.055715681131408,face
2,-5.419160127967532,face
3,-4.633479788222147,face
4,-0.5269394796669804,face
5,-0.5735928184515551,face
6,-0.03738026833090057,face
7,-3.8063000707408614,face
8,-3.0268700675627414,face
9,-2.563721299601141,face
10,-1.5482488184739074,face
11,-2.304460761976492,face
12,-2.7975173273758718,face
13,-0.8685149330333604,face
14,-1.8603644241217951,face
15,-1.2660760925939225,face
16,-1.2379990201670437,face
17,-1.1668382105640884,face
18,-1.5472847091864408,face
19,-1.7695788518065234,face
20,0.11179336168010655,face
21,-0.10701248592531631,face
22,-0.3712575094868732,face
23,0.6121082550385806,face
24,1.307779175150664,face
25,-4.249338898317448,face
26,-3.1611561969171253,face
27,-1.7187570494164004,face
28,-0.1232359801811403,face
29,-0.4517908260392526,face
30,-0.5998294142499657,face
31,-0.8412391941148106,face
32,-1.7071364800134035,face
33,-1.0380761495864352,face
34,-2.405119733361218,face
35,-0.9494321046383554,face
36,-1.7230542226125631,face
37,-4.333197697247377,face
38,-3.6327938997596085,face
39,-3.9374641523667684,face
40,-3.3446853593488632,face
41,-3.768338913148722,face
42,-3.965961613117815,face
43,-3.458968054353141,face
44,-4.6452021356631645,face
45,-2.435971708121515,face
46,-2.1657841218015923,face
47,-1.9251608745944855,face
48,4.09364079745518,face
49,-4.045923286258404,face
50,-3.0933444725301262,face
51,-3.9141872633722783,face
52,-2.7333847211400064,face
53,-1.376582261139294,face
54,-3.3838058176347023,face
55,-2.7657160895543993,face
56,-2.6302591713268324,face
57,-0.6224070657604033,face
58,-3.2063247725547934,face
59,-3.3704347546200886,face
60,-3.6282187662013428,face
61,-3.1985615846138975,face
62,-3.617551393319929,face
63,-2.512113265319648,face
64,-3.315768432227851,face
65,-4.469450945833973,face
66,-3.5248709752652596,face
67,-6.923545824503807,face
68,5.925688847915988,face
69,6.254480429395024,face
70,5.28525140171276,face
71,3.173588492837639,face
72,5.049093038051989,face
73,5.426175823643581,face
74,-4.250570063828792,face
75,-4.376614121110933,face
76,-3.5249685629992205,face
77,-2.8591062537678393,face
78,-3.0154222299413105,face
79,-3.2957313496884435,face
80,-3.316353519211918,face
81,-3.7861182524005663,face
82,-6.244200131093162,face
