id	symbol	p_val|float	avg_logFC|float	p_val_adj|float	_hprdClass	_expr	_geneLists
AASS	AASS	0.00000E+00	0.770588964541838	0	Enzyme: Oxidoreductase;Enzyme: Synthase	BrainSpLMD|10157	OMIM|605113;HPO|10157|Abnormality of the genitourinary system, Anemia, Autosomal recessive inheritance, Cognitive impairment, Delayed speech and language development, EEG abnormality, Ectopia lentis, Histidinuria, Hyperactivity, Hyperlysinemia, Hyperlysinuria, Infantile onset, Intellectual disability, Intellectual disability, mild, Muscular hypotonia, Phenotypic variability, Seizures, Short attention span, Short stature, Spastic diplegia
ACAA2	ACAA2	0.00000E+00	0.594918542109347	0	Enzyme: Acyltransferase	BrainSpLMD|10449;Eurexp|euxassay_018546|bladder, choroid invagination, choroid plexus, epidermis, epithelium, liver, oral epithelium, roof plate, vibrissa	OMIM|604770
ACAT2	ACAT2	0.00000E+00	0.66279095076486	0	Enzyme: Acyltransferase	BrainSpLMD|39;Eurexp|euxassay_010142|brain, cervical, cervico-thoracic, chondrocranium, dorsal root ganglion, facial VII, foregut-midgut junction, glomeruli, glossopharyngeal IX, head mesenchyme, hindgut, incisor, left lung, liver, lobe, marginal layer, mesenchyme, metanephros, midgut, neural retina, right lung, spinal cord, stomach, stroma, thoracic, trigeminal V, vagus X, vestibulocochlear VIII, vibrissa	OMIM|100678;HPO|39|Chorea, Generalized hypotonia, Global developmental delay, Increased serum lactate, Increased serum pyruvate, Sporadic
ACLY	ACLY	0.00000E+00	0.514648851767165	0	ATPase	BrainSpLMD|47;Eurexp|euxassay_018561|brain, cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, incisor, medulla, molar, neural retina, olfactory, spinal cord, thoracic, trigeminal V, vagus X, vestibulocochlear VIII	OMIM|108728
ACP1	ACP1	0.00000E+00	0.689329688308496	0	Enzyme: Acid phosphatase	BrainSpLMD|52;Eurexp|euxassay_003011|calyces, chondrocranium, incisor, lobe, submandibular gland primordium, thymus primordium, ventricular layer, vibrissa	OMIM|171500
ACTL6A	ACTL6A	0.00000E+00	0.671033367160154	0	DNA binding protein	BrainSpLMD|86;Eurexp|euxassay_013581|cortex, epithelium, incisor, left lung, liver, molar, olfactory, right lung, submandibular gland primordium, thymus primordium, ventricular layer, vibrissa, vomeronasal organ	OMIM|604958
ACVR2B	ACVR2B	0.00000E+00	0.470182962678512	0	Receptor serine/threonine kinase	BrainSpLMD|93;Eurexp|euxassay_007595|brain, cervical, cervico-thoracic, dorsal root ganglion, epithelium, facial VII, glossopharyngeal IX, incisor, inner ear, left lung, metanephros, midgut, molar, olfactory, pharyngo-tympanic tube, pharynx, rectum, renal/urinary system, retina, right lung, spinal cord, stomach, submandibular gland primordium, thoracic, thymus primordium, thyroid, trigeminal V, vagus X, vestibulocochlear VIII, vomeronasal organ;BrainSpMouseDev|11269	OMIM|602730;HPO|93|Atrioventricular canal defect, Autosomal dominant inheritance, Dextrocardia, Ectopia of the spleen, Right aortic arch, Ventricular septal defect
ADH5	ADH5	0.00000E+00	0.629617099970178	0	Enzyme: Oxidoreductase	BrainSpLMD|128;Eurexp|euxassay_006991|embryo	OMIM|103710
ADSL	ADSL	0.00000E+00	0.498273666056993	0	Enzyme: Lyase	BrainSpLMD|158	SFARI||Autism, No category;OMIM|608222;HPO|158|Abnormal facial shape, Absent speech, Aggressive behavior, Anteverted nares, Autism, Autosomal recessive inheritance, Brachycephaly, Brisk reflexes, CNS hypomyelination, Cerebellar atrophy, Cerebral atrophy, Cerebral hypomyelination, Delayed speech and language development, Flat occiput, Gait ataxia, Generalized hypotonia, Global developmental delay, Growth delay, Hyperactivity, Hypointensity of cerebral white matter on MRI, Inability to walk, Inappropriate laughter, Infantile onset, Intellectual disability, Long philtrum, Low-set ears, Microcephaly, Myoclonus, Nystagmus, Opisthotonus, Poor eye contact, Prominent metopic ridge, Seizures, Self-mutilation, Severe global developmental delay, Short nose, Skeletal muscle atrophy, Smooth philtrum, Strabismus, Thin upper lip vermilion, Wide mouth
AHCY	AHCY	0.00000E+00	0.449162523324079	0	Enzyme: Hydrolase	BrainSpLMD|191;Eurexp|euxassay_008402|embryo	OMIM|180960;HPO|191|Abnormal facial shape, Abnormality of the dentition, Autosomal recessive inheritance, Cardiomyopathy, Failure to thrive, Global developmental delay, Hypermethioninemia, Intellectual disability, Motor delay
AKR1A1	AKR1A1	0.00000E+00	0.48986247735411	0	Enzyme: Oxidoreductase	BrainSpLMD|10327	OMIM|103830
